Fecha,Desempleo,Inflación,Hombres,Mujeres,Educación
2019-diciembre,8.50,02.09,7.24,10.31,Universidad
2019-noviembre,10.90,-0.03,6.93,10.85,Universidad
2019-octubre,8.80,0.42,7.75,11.10,Secundaria
2019-septiembre,9.47,0.75,6.83,11.43,Secundaria
2019-agosto,09.06,0.52,7.84,10.60,Primaria
2019-julio,9.13,0.88,8.20,11.12,Secundaria
2019-junio,9.77,0.76,7.41,11.15,Universidad
2019-mayo,8.73,0.64,8.64,10.08,Secundaria
2019-abril,7.96,0.40,7.57,10.53,Primaria
2019-marzo,9.50,0.43,5.80,11.50,Universidad
2019-febrero,8.40,0.55,7.70,10.39,Secundaria
2019-enero,8.41,0.98,6.73,9.93,Secundaria
2018-diciembre,8.42,2.17,6.99,10.09,Universidad
2018-noviembre,7.41,-0.38,6.74,8.20,Universidad
2018-octubre,8.62,0.36,7.21,10.26,Secundaria
Septiembre,8.65,0.23,6.64,10.99,Secundaria
2018-agosto,09.04,0.50,7.78,10.52,Secundaria
2018-julio,7.77,0.67,5.52,10.40,Secundaria
2018-junio,7.93,0.60,7.14,8.86,Primaria
2018-mayo,8.12,0.99,6.50,10.03,Secundaria
2018-abril,8.19,0.81,6.71,9.97,Secundaria
2018-marzo,8.78,0.07,7.27,10.57,Secundaria
2018-febrero,9.31,0.28,7.19,11.82,Primaria
2018-enero,8.48,0.88,7.71,9.38,Universidad
2017-diciembre,6.92,2.71,5.78,8.28,Secundaria
2017-noviembre,7.76,-0.31,6.52,9.20,Primaria
2017-octubre,7.71,0.34,6.59,09.04,Secundaria
2017-septiembre,7.58,0.46,6.10,9.33,Secundaria
2017-agosto,7.82,0.54,6.62,9.25,Secundaria
2017-julio,7.58,0.77,6.46,8.91,Primaria
2017-junio,7.84,0.32,6.84,09.02,Secundaria
2017-mayo,7.95,0.15,6.78,9.35,Secundaria
2017-abril,8.46,0.13,6.96,10.19,Secundaria
2017-marzo,09.02,0.22,6.91,11.51,Secundaria
2017-febrero,8.21,0.68,6.78,9.94,Universidad
2017-enero,8.12,0.50,6.78,9.74,Universidad
2016-diciembre,7.74,2.60,6.54,9.21,Secundaria
2016-noviembre,7.74,-0.55,6.59,09.09,Secundaria
2016-septiembre,7.10,0.10,5.54,8.84,Universidad
2016-agosto,8.39,0.18,6.87,10.18,Primaria
2016-julio,7.72,0.25,6.49,9.19,Secundaria
2016-junio,8.60,0.57,7.40,10.00,Secundaria
2016-mayo,7.51,0.39,5.98,9.30,Secundaria
2016-abril,7.85,0.40,06.06,10.04,Secundaria
2016-marzo,08.06,0.97,6.57,9.81,Secundaria
2016-febrero,8.00,0.46,6.68,9.55,Primaria
2016-enero,8.00,01.04,6.70,9.70,Primaria
2015-diciembre,7.74,1.60,6.80,8.87,Secundaria
2015-noviembre,7.40,2.45,6.50,8.50,Secundaria
2015-octubre,7.90,-0.55,6.50,9.60,Secundaria
2015-septiembre,8.50,0.43,8.20,9.00,Secundaria
2015-agosto,7.60,0.60,6.63,9.76,Primaria
2015-julio,7.00,0.69,6.30,9.20,Secundaria
2015-junio,7.40,1.18,6.00,8.20,Primaria
2015-mayo,7.40,1.21,6.20,8.80,Primaria
2015-abril,8.12,0.45,6.30,8.70,Secundaria
2015-marzo,7.26,0.49,6.68,9.86,Secundaria
2015-febrero,7.11,0.57,5.87,8.89,Primaria
2015-enero,6.59,0.70,6.32,08.06,Universidad
2014-diciembre,6.47,1.10,5.67,7.70,Secundaria
2014-noviembre,07.01,2.22,4.52,8.83,Secundaria
2014-octubre,6.65,-0.53,5.86,8.39,Secundaria
2014-septiembre,6.18,0.15,5.20,8.41,Secundaria
2014-agosto,6.75,0.59,4.65,7.99,Primaria
2014-julio,5.67,1.00,05.01,8.88,Universidad
2014-junio,6.85,0.75,4.76,6.79,Secundaria
2014-mayo,6.79,0.75,5.62,8.34,Secundaria
2014-abril,6.80,0.35,5.33,8.52,Primaria
2014-marzo,6.33,0.32,4.92,09.04,Primaria
2014-febrero,07.03,-0.06,4.68,8.32,Primaria
2014-enero,6.72,0.58,5.26,9.12,Secundaria
2013-diciembre,06.02,1.66,5.18,8.53,Secundaria
2013-noviembre,6.42,2.44,4.77,7.51,Secundaria
2013-octubre,6.37,-0.72,05.01,8.13,Secundaria
2013-septiembre,06.03,0.20,4.52,8.57,Primaria
2013-agosto,6.00,0.82,4.68,7.69,Universidad
2013-julio,6.88,1.36,05.01,7.21,Primaria
2013-junio,6.47,01.04,5.29,8.85,Secundaria
2013-mayo,6.51,0.77,5.50,7.64,Secundaria
2013-abril,6.84,0.43,5.11,8.23,Primaria
2013-marzo,6.94,0.32,05.09,8.94,Primaria
2013-febrero,6.48,0.45,4.96,9.32,Primaria
2013-enero,07.07,0.66,5.00,8.32,Primaria
2012-diciembre,5.60,0.99,5.88,8.51,Secundaria
2012-noviembre,6.40,1.90,4.00,7.40,Secundaria
2012-octubre,5.80,-0.73,4.60,8.50,Secundaria
2012-septiembre,7.10,0.35,4.90,7.00,Primaria
2012-agosto,5.70,1.15,5.40,9.20,Primaria
2012-julio,6.90,1.21,4.66,6.98,Secundaria
2012-junio,7.00,0.93,05.07,8.92,Secundaria
2012-mayo,7.20,0.33,6.15,8.37,Secundaria
2012-abril,6.30,0.34,5.15,8.33,Secundaria
2012-marzo,5.60,1.42,4.85,8.82,Universidad
2012-febrero,6.30,0.94,4.86,09.03,Primaria
2012-enero,6.10,1.25,3.78,08.05,Primaria